Source data:
n_boxes: 6, m: 5, d: 4, nExp: 10000
Box 1. Total: 270. Red: 20, White: 62, Black: 43, Green: 59, Blue: 86
Box 2. Total: 280. Red: 15, White: 13, Black: 83, Green: 80, Blue: 89
Box 3. Total: 210. Red: 39, White: 32, Black: 70, Green: 48, Blue: 21
Box 4. Total: 230. Red: 19, White: 47, Black: 72, Green: 40, Blue: 52
Box 5. Total: 290. Red: 93, White: 12, Black: 69, Green: 41, Blue: 75
Box 6. Total: 240. Red: 19, White: 81, Black: 41, Green: 30, Blue: 69
Experiments:
# 1, Balls: Red, Blue, Blue, Blue
# 2, Balls: Black, Black, Blue, White
# 3, Balls: Green, Black, Green, White
# 4, Balls: Blue, Blue, Green, Blue
# 5, Balls: Green, Green, Black, Blue
# 6, Balls: White, Red, Blue, Red
# 7, Balls: Red, Black, Red, White
# 8, Balls: Black, Black, Black, Black
# 9, Balls: Green, White, Black, White
# 10, Balls: Green, Red, Blue, White
# 11, Balls: Green, White, Blue, Blue
# 12, Balls: White, Blue, White, Green
# 13, Balls: Red, Green, Red, Red
# 14, Balls: Green, Green, Black, Black
# 15, Balls: Blue, Blue, Blue, Red
# 16, Balls: Blue, Green, Blue, Blue
# 17, Balls: White, Green, White, Black
# 18, Balls: White, White, Black, Red
# 19, Balls: Red, Blue, Black, Black
# 20, Balls: Red, Red, Green, Red
# 21, Balls: Black, Red, Green, Green
# 22, Balls: Blue, Blue, Blue, Green
# 23, Balls: Green, Blue, White, Black
# 24, Balls: White, Blue, Blue, Black
# 25, Balls: Red, Red, Red, Black
# 26, Balls: Red, Black, Green, Green
# 27, Balls: Black, Blue, Blue, Green
# 28, Balls: Black, Black, Green, Red
# 29, Balls: Green, White, Blue, Blue
# 30, Balls: Blue, White, White, Blue
# 31, Balls: Black, Blue, White, Blue
# 32, Balls: White, Blue, Black, Green
# 33, Balls: Green, White, Green, Blue
# 34, Balls: Green, Blue, Green, Green
# 35, Balls: Green, Black, Blue, Black
# 36, Balls: White, White, White, Black
# 37, Balls: Black, Blue, Blue, Red
# 38, Balls: Green, White, Red, Red
# 39, Balls: Green, White, Black, Blue
# 40, Balls: White, Red, Blue, Blue
# 41, Balls: White, White, Black, Blue
# 42, Balls: Black, Red, Green, Blue
# 43, Balls: Black, Blue, Red, Red
# 44, Balls: Black, Green, Red, Green
# 45, Balls: Black, White, Black, Red
# 46, Balls: Green, Green, Black, Green
# 47, Balls: Blue, Blue, Green, White
# 48, Balls: Blue, Blue, Green, Green
# 49, Balls: Green, Green, White, Black
# 50, Balls: Black, Black, Green, Red
# 51, Balls: Blue, Blue, White, White
# 52, Balls: Blue, Black, Green, Black
# 53, Balls: Green, Blue, Blue, Blue
# 54, Balls: White, White, White, Black
# 55, Balls: Blue, Blue, Black, Blue
# 56, Balls: White, White, Black, Blue
# 57, Balls: Green, White, Blue, White
# 58, Balls: Green, Black, Black, Blue
# 59, Balls: Red, Black, White, Green
# 60, Balls: Blue, Red, Black, White
# 61, Balls: Red, Black, Blue, Red
# 62, Balls: Red, Green, Green, Black
# 63, Balls: Black, Blue, White, Black
# 64, Balls: Blue, Blue, Black, Blue
# 65, Balls: Black, Black, Red, Blue
# 66, Balls: Red, Blue, White, White
# 67, Balls: Blue, Black, Red, White
